Timestamp,Value
112283,0.006
112284,0.001
112285,-0.006
112286,-0.016
112287,-0.024
112288,-0.031
112289,-0.038
112290,-0.048
112291,-0.055
112292,-0.052000000000000005
112293,-0.042
112358,-0.038
112359,-0.043000000000000003
112360,-0.047
112361,-0.044
112362,-0.034
112363,-0.027
112364,-0.026000000000000002
112365,-0.029
112366,-0.028
112367,-0.023
112368,-0.015
112369,-0.01
112370,-0.013000000000000001
112371,-0.022
112372,-0.026000000000000002
112373,-0.02
112438,-0.008
112439,-0.003
112440,-0.007
112441,-0.016
112442,-0.018000000000000002
112443,-0.02
112444,-0.022
112445,-0.028
112446,-0.032
112447,-0.032
112448,-0.028
112449,-0.029
112450,-0.039
112451,-0.046
112452,-0.045
112453,-0.042
112518,-0.041
112519,-0.04
112520,-0.04
112521,-0.04
112522,-0.045
112523,-0.054
112524,-0.063
112525,-0.064
112526,-0.056
112527,-0.045
112528,-0.04
112529,-0.047
112530,-0.058
112531,-0.063
112532,-0.058
112533,-0.052000000000000005
112598,-0.052000000000000005
112599,-0.055
112600,-0.059000000000000004
112601,-0.055
112602,-0.051000000000000004
112603,-0.046
112604,-0.043000000000000003
112605,-0.043000000000000003
112606,-0.05
112607,-0.056
112608,-0.058
112609,-0.058
112610,-0.058
112611,-0.056
112612,-0.056
112613,-0.054
112678,-0.05
112679,-0.047
112680,-0.047
112681,-0.05
112682,-0.053
112683,-0.054
112684,-0.051000000000000004
112685,-0.048
112686,-0.046
112687,-0.045
112688,-0.042
112689,-0.035
112690,-0.022
112691,-0.007
112692,-0.002
112693,-0.011
112758,-0.024
112759,-0.027
112760,-0.022
112761,-0.026000000000000002
112762,-0.042
112763,-0.058
112764,-0.061
112765,-0.056
112766,-0.051000000000000004
112767,-0.051000000000000004
112768,-0.059000000000000004
112769,-0.061
112770,-0.057
112771,-0.053
112772,-0.054
112773,-0.04
112838,0.037
112839,0.23800000000000002
112840,0.549
112841,0.794
112842,0.715
112843,0.234
112844,-0.398
112845,-0.794
112846,-0.782
112847,-0.531
112848,-0.296
112849,-0.183
112850,-0.136
112851,-0.095
112852,-0.06
112853,-0.048
112918,-0.056
112919,-0.061
112920,-0.05
112921,-0.035
112922,-0.029
112923,-0.031
112924,-0.031
112925,-0.027
112926,-0.024
112927,-0.023
112928,-0.023
112929,-0.018000000000000002
112930,-0.013000000000000001
112931,-0.008
112932,-0.005
112933,-0.003
112998,-0.003
112999,-0.002
113000,0.002
113001,0.006
113002,0.011
113003,0.013000000000000001
113004,0.017
113005,0.019
113006,0.023
113007,0.029
113008,0.035
113009,0.038
113010,0.043000000000000003
113011,0.05
113012,0.053
113013,0.047
113078,0.04
113079,0.036000000000000004
113080,0.038
113081,0.038
113082,0.032
113083,0.024
113084,0.016
113085,0.006
113086,-0.002
113087,-0.002
113088,-0.001
113089,-0.008
113090,-0.023
113091,-0.034
113092,-0.039
113093,-0.04
113158,-0.044
113159,-0.045
113160,-0.046
113161,-0.055
113162,-0.069
113163,-0.073
113164,-0.069
113165,-0.069
113166,-0.077
113167,-0.08600000000000001
113168,-0.093
113169,-0.1
113170,-0.109
113171,-0.115
113172,-0.113
113173,-0.111
113238,-0.111
113239,-0.113
113240,-0.113
113241,-0.117
113242,-0.11900000000000001
113243,-0.116
113244,-0.109
113245,-0.10300000000000001
113246,-0.10400000000000001
113247,-0.106
113248,-0.105
113249,-0.105
113250,-0.10300000000000001
113251,-0.101
113252,-0.10300000000000001
113253,-0.112
113318,-0.117
113319,-0.113
113320,-0.10300000000000001
113321,-0.099
113322,-0.105
113323,-0.114
113324,-0.11900000000000001
113325,-0.122
113326,-0.124
113327,-0.124
113328,-0.123
113329,-0.129
113330,-0.137
113331,-0.139
113332,-0.135
113333,-0.135
113398,-0.137
113399,-0.138
113400,-0.138
113401,-0.139
113402,-0.14100000000000001
113403,-0.138
113404,-0.136
113405,-0.14
113406,-0.146
113407,-0.147
113408,-0.14200000000000002
113409,-0.138
113410,-0.138
113411,-0.137
113412,-0.138
113413,-0.14200000000000002
113478,-0.149
113479,-0.155
113480,-0.154
113481,-0.146
113482,-0.135
113483,-0.126
113484,-0.126
113485,-0.135
113486,-0.14100000000000001
113487,-0.14
113488,-0.138
113489,-0.14
113490,-0.138
113491,-0.134
113492,-0.128
113493,-0.131
113558,-0.137
113559,-0.138
113560,-0.131
113561,-0.128
113562,-0.128
113563,-0.129
113564,-0.125
113565,-0.125
113566,-0.125
113567,-0.122
113568,-0.109
113569,-0.092
113570,-0.079
113571,-0.078
113572,-0.085
113573,-0.093
113638,-0.101
113639,-0.105
113640,-0.111
113641,-0.11900000000000001
113642,-0.126
113643,-0.126
113644,-0.122
113645,-0.121
113646,-0.123
113647,-0.123
113648,-0.12
113649,-0.117
113650,-0.124
113651,-0.128
113652,-0.1
113653,0.006
113718,0.232
113719,0.531
113720,0.711
113721,0.54
113722,-0.005
113723,-0.644
113724,-1.0090000000000001
113725,-0.964
113726,-0.682
113727,-0.41200000000000003
113728,-0.257
113729,-0.185
113730,-0.138
113731,-0.101
113732,-0.08
113733,-0.076
113798,-0.079
113799,-0.077
113800,-0.066
113801,-0.061
113802,-0.062
113803,-0.063
113804,-0.056
113805,-0.049
113806,-0.045
113807,-0.041
113808,-0.031
113809,-0.021
113810,-0.021
113811,-0.024
113812,-0.024
113813,-0.019
113878,-0.013000000000000001
113879,-0.011
113880,-0.009000000000000001
113881,-0.007
113882,-0.001
113883,0.005
113884,0.008
113885,0.006
113886,0.002
113887,0.003
113888,0.006
113889,0.005
113890,0.004
113891,0.006
113892,0.01
113893,0.009000000000000001
113958,0.005
113959,0.003
113960,0.002
113961,-0.004
113962,-0.013000000000000001
113963,-0.019
113964,-0.022
113965,-0.029
113966,-0.039
113967,-0.047
113968,-0.049
113969,-0.049
113970,-0.053
113971,-0.057
113972,-0.059000000000000004
113973,-0.063
114038,-0.07100000000000001
114039,-0.077
114040,-0.076
114041,-0.07100000000000001
114042,-0.067
114043,-0.069
114044,-0.075
114045,-0.081
114046,-0.085
114047,-0.082
114048,-0.074
114049,-0.073
114050,-0.077
114051,-0.079
114052,-0.07200000000000001
114053,-0.064
114118,-0.06
114119,-0.06
114120,-0.058
114121,-0.055
114122,-0.052000000000000005
114123,-0.048
114124,-0.041
114125,-0.036000000000000004
114126,-0.036000000000000004
114127,-0.039
114128,-0.039
114129,-0.034
114130,-0.026000000000000002
114131,-0.022
114132,-0.026000000000000002
114133,-0.035
114198,-0.042
114199,-0.04
114200,-0.034
114201,-0.031
114202,-0.033
114203,-0.036000000000000004
114204,-0.036000000000000004
114205,-0.037
114206,-0.041
114207,-0.043000000000000003
114208,-0.042
114209,-0.037
114210,-0.037
114211,-0.039
114212,-0.039
114213,-0.037
114278,-0.033
114279,-0.031
114280,-0.033
114281,-0.035
114282,-0.037
114283,-0.035
114284,-0.035
114285,-0.034
114286,-0.027
114287,-0.019
114288,-0.014
114289,-0.014
114290,-0.017
114291,-0.019
114292,-0.018000000000000002
114293,-0.018000000000000002
114358,-0.016
114359,-0.014
114360,-0.013000000000000001
114361,-0.011
114362,-0.007
114363,-0.005
114364,-0.005
114365,-0.008
114366,-0.008
114367,-0.008
114368,-0.008
114369,-0.009000000000000001
114370,-0.009000000000000001
114371,-0.002
114372,0.006
114373,0.01
114438,0.006
114439,0.005
114440,0.008
114441,0.011
114442,0.01
114443,0.01
114444,0.013000000000000001
114445,0.019
114446,0.026000000000000002
114447,0.04
114448,0.056
114449,0.065
114450,0.061
114451,0.047
114452,0.031
114453,0.023
114518,0.022
114519,0.026000000000000002
114520,0.026000000000000002
114521,0.02
114522,0.01
114523,0.007
114524,0.007
114525,0.011
114526,0.016
114527,0.021
114528,0.015
114529,0.014
114530,0.06
114531,0.20700000000000002
114532,0.47000000000000003
114533,0.76
114598,0.86
114599,0.577
114600,-0.03
114601,-0.626
114602,-0.868
114603,-0.718
114604,-0.41200000000000003
114605,-0.184
114606,-0.078
114607,-0.027
114608,0.013000000000000001
114609,0.036000000000000004
114610,0.043000000000000003
114611,0.047
114612,0.052000000000000005
114613,0.058
114678,0.062
114679,0.064
114680,0.066
114681,0.07100000000000001
114682,0.076
114683,0.082
114684,0.08600000000000001
114685,0.089
114686,0.093
114687,0.1
114688,0.10400000000000001
114689,0.105
114690,0.105
114691,0.109
114692,0.111
